cited_by_count,avg_favourites_count,avg_statuses_count,avg_followers_count,author_id
14805,3272,1883,894,570
535,1316,1105,1081,571
284,2501,857,458,572
239,186.5,4892,599.2500000000006,573
76,186.5,4892,599.2500000000006,574
49,1425,3250,382,575
153,2515,662,557,576
2494,0,582,335,577
185,1098,281,201,578
9,1098,281,201,579
4,274,566,329,580
1114,447,482,1007.0000000000002,581
151,447,482,1007.0000000000002,582
7900,2701,3010,4941,583
164,1401,168,111,584
885,1494,1179,675,585
150,636,377,341,586
2847,1264,1289,1063,587
136,6183,376,293,588
11,6183,376,293,589
1798,17235,2474,3987,590
43,1587,693,352,591
210,4549,2577,708,592
44,4339,651,2032,593
42,783,6545,2871,594
307,842,783,677,595
3232,364,208,170,596
28,364,208,170,597
310,212,574,814,598
60,3604,570,510,599
425,1757,1123,598,600
4,1757,1123,598,601
3966,17,1638,1344,602
4,1586,879,1216,603
3,1586,879,1216,604
4851,46,505,452,605
18,46,505,452,606
285,255,1698,54,607
82,1989,407,469,608
7139,1807,467,1429,609
1350,469,386,717,610
5,5092,1627,970,611
897,2380,1594,1029,612
213,1035,905,108,613
148,3045,15529,917,614
807,107,626,560,615
4331,876.5,2722,1570,616
633,4291,1734,369,617
901,1367,480,198,618
411,1367,480,198,619
956,86,311,385,620
2,86,311,385,621
1198,5464,1871,341,622
2360,610,681,566,623
224,428,381,108,624
487,8812,3015,651,625
133,486,3224,226,626
1229,873,782,554,627
2,873,782,554,628
5883,137,27,102,629
46,77,1676,915,630
1135,722,189,160,631
836,2946,142,95,632
1480,5772,1367,516,633
931,6257,1103,1866,634
1199,3667,1081,1673,635
1,4875,17559,968,636
816,48,121,22,637
227,2521,976,1373,638
79,1423,611,2484,639
17,411,12079,1677,640
58,2012,3534,6454,641
407,264,121,380,642
66,524,6547,477,643
3302,3759,875,751,644
7337,2513,1701,933,645
507,738,1088,636,646
130,1608,161,472,647
42,2805,2292,252,648
818,1320,393,317,649
2307,35456,1556,685,650
3476,726,204,1102,651
58,873,374,850,652
19,3624,2045,776,653
3741,4818,1376,1102,654
272,1630,1391,477,655
672,4460,2650,1163,656
33,1857,3165,946,657
461,7003,374,713,658
9,1817,1732,365,659
9,4983,1531,228,660
371,4245,602,951,661
1064,29,307,60,662
53,2372,863,475,663
23,2536,1215,283,664
2,103,429,31,665
191,1851,228,624,666
105,1632.499999999999,127,296.00000000000017,667
10,1632.499999999999,127,296.00000000000017,668
171,204,274,81,669
1550,1112,1736,1840,670
205,172,110,500,671
196,2028,609,648,672
1250,51,125,171,673
118,101,3687,2400,674
477,850,649,541,675
14,46,4730,1029,676
20,895,3233,492,677
2,1518,621,352,678
110,19024,1266,1462,679
155,716,175,250,680
4276,734,1751,1742,681
238,582,354,143,682
266,2419,1797,1272,683
295,3426,404,269,684
858,6917,18280,599,685
4470,338,1615,557,686
87,918,2805,1041,687
538,960,2687,1694,688
229,2167,4525,3698.3333333333353,689
69,2167,4525,3698.3333333333353,690
2,2167,4525,3698.3333333333353,691
2115,6945,2720,414,692
195,1886,829,494,693
223,5493,1058,271,694
257,1421,239,455,695
892,138,86,60,696
2207,948,736,877,697
30,832,264,319,698
14,2493,288,473,699
238,1446,631,381,700
12405,204,788,1248,701
331,37,90,171,702
24,25899,2086,733,703
1,2015,4054,1076,704
623,9019,936,245,705
13,245,304,153,706
546,808,562,383,707
145,409,336,270,708
839,6166,972,737,709
1958,353,490,61,710
710,353,213,195,711
777,2509,1490,512,712
692,163,262,185,713
5932,159,205,94,714
4096,5700,3143,2018,715
1846,1986,515,261,716
1443,700,2616,734,717
9,700,2616,734,718
8029,9,407,2532,719
160,1184,847,856,720
183,2311,516,324,721
1562,1283,257,521,722
344,527,2163,1102,723
3294,748,127,210,724
2081,2339,1329,679,725
841,375,287,275,726
4,1832.9999999999995,891.4999999999998,220,727
4,1832.9999999999995,891.4999999999998,220,728
44,6974,962,298,729
251,207,439,166.33333333333326,730
13,207,439,166.33333333333326,731
4,207,439,166.33333333333326,732
4,5575,1362,64,733
128,320,9950,2394,734
2085,381,1738,639,735
17669,3718,2517,10492.499999999984,736
2,3718,2517,10492.499999999984,737
274,914,1712,235,738
1039,7949,3558,1537,739
500,364,29,136,740
873,2710,374,842,741
7,3041,5857,374,742
252,1739,1054,305,743
65,2981,2307,487,744
620,510,318,149,745
588,1821,881,1138,746
439,1668,509,655,747
22,912,223,1095,748
235,2621,1533,480,749
80,308,352,354,750
865,2330,664,233,751
11,3631,577,618,752
348,728,317,545,753
3453,491,393,219,754
6229,6187,3302,7250,755
146,2359,2479,673,756
2970,415,1041,301,757
49,1883,637,359,758
43,501,750,1442,759
3005,218,1184,426,760
1521,238,128,170,761
2364,508,201,615,762
60,349,155,67,763
219,1160,1030,290,764
87,2476,730,544,765
49,2476,730,544,766
6,13202,2434,1198,767
16,1619,111,259,768
152,176,1344,2062,769
133,1221,1164,249,770
38,1,375,181,771
89,43,125,21,772
4,43,125,21,773
14354,1504,1990,864,774
54,14884,3084,1176,775
649,1660,3772,1379,776
108,6353,792,1276,777
674,3886,2501,1462,778
5,3886,2501,1462,779
910,3,325,788,780
366,3,325,788,781
761,1810,830,329,782
93,34941,2495,208,783
614,649,560,407,784
282,197,1119,253,785
8412,200,627,2002,786
3583,1244,1608,391,787
19,753,1196,306,788
637,3711,1381,1524,789
4,7648.000000000001,219,82,790
3908,7648.000000000001,219,82,791
14720,4361,921,1256,792
2,394,265,214,793
221,3058,496,446,794
626,389,1133,235,795
8,4700,1746,1356,796
6903,1923,2151,3538,797
502,1203,781,221,798
151,2124,2850,827,799
61,1606,2313,89,800
30,478,1372,446,801
143,1697,928,1291,802
3,864,211,159,803
239,1211,4421,1337,804
15,2966,2156,944,805
340,7780,1278,410,806
54,7234,6313,690,807
40,10774,1563,2244,808
1,10774,1563,2244,809
10,1454,972,776,810
3,2583.5,1904.499999999999,788,811
1,2583.5,1904.499999999999,788,812
68,548,399,124,813
122,170,295,556,814
12,1338,4991,510,815
75,175,247,118,816
255,3943,1331,279,817
86,4985,1051,566,818
341,3457,1275,1079,819
242,809,1713,601,820
8277,324,666,557,821
2035,412,657,303,822
120,1405,1004,920,823
132,5121.999999999999,3538,861.4999999999994,824
4,5121.999999999999,3538,861.4999999999994,825
802,27087,1760,949,826
38,5955,3068,1275,827
782,713,1272,2589,828
901,133,254,186,829
80,664,578,255,830
43,1077,726,105,831
260,2053,664,623,832
4,2053,664,623,833
13,495,142,144,834
163,1932,738,255,835
3045,1174,192,862,836
6,2669,7028,1260,837
50,1722,1900,1057,838
38,534,282,45,839
323,1821,393,7236,840
455,3341,1499,328,841
93,210,140,265,842
82,230,238,300,843
57,324,273,424,844
160,513,503,169,845
1459,3931,1558,531,846
596,2274,506,165,847
1749,3960,482,1400,848
4751,712,952,302,849
5,2302,1509,628,850
640,1209,520,479,851
19,417,856,123,852
644,3412,379,413,853
155,4050,1327,472,854
6,4050,1327,472,855
7,718,920,310,856
175,195,1121,410,857
1,99,329,348,858
507,986,4192,10258,859
9,986,4192,10258,860
144374,986,4192,10258,861
1162,291,1341,733,862
291,1375,475,278,863
453,130,317,24,864
351,392,873,327,865
276,4130,3296,157,866
272,491,727,2059,867
13,911,594,462,868
8730,121,1064,714,869
436,923,6849,343,870
2807,7091,1268,1850,871
9,21,101,435,872
1765,307,198,362,873
836,126,490,116,874
38,126,490,116,875
427,3771,7224,353,876
21,2767,2257,168,877
60,224,149,61,878
39,224,149,61,879
10,1289.4999999999998,982,619,880
3,1289.4999999999998,982,619,881
10,3991,2457,1430,882
610,558,735,531,883
7,4007,675,878,884
437,13,104,461,885
343,134,98,202,886
28,7096,2000,736,887
898,1077,428,961,888
58,2822,816,710,889
1417,6305,2338,2240,890
37,717,310,607,891
2868,561,1117,700,892
742,1756,437,1312,893
1968,2640,1133,834,894
252,8397,591,152,895
26,8397,591,152,896
517,1298,835,438,897
2054,941,479,239,898
87,1933,1717,248,899
20,14,1060,209,900
1,14,1060,209,901
892,2154,653,410,902
276,1255,888,690,903
38481,108,398,1677,904
10,4346,1187,618,905
264,477,948,846,906
598,3438,980,479,907
6237,55,233,287,908
1658,17566,2567,241,909
7,10192,2443,1673,910
804,10192,2443,1673,911
192,16192,1599,676,912
360,2574,1416,248,913
529,672,498,230,914
53,2896,603,101,915
4,1839,1331,285,916
133,1464,478,389,917
1231,4575,4150,281,918
555,770,1087,4895,919
1036,9,139,646,920
7142,448,704,59,921
309,5541,3454,670,922
2773,1120,882,693,923
225,1596,923,448,924
103,45,231,33,925
135,477,457,618,926
248,2108,824,320,927
956,605,224,386,928
292,104,1920,762,929
526,1237,1085,768,930
41,5561,2062,701,931
111,221,630,70,932
10572,3957,3451,8862,933
883,854,444,153,934
1,1074,946,2642,935
2683,1392.333333333332,563,474.6666666666671,936
103,1392.333333333332,563,474.6666666666671,937
115,1392.333333333332,563,474.6666666666671,938
208,223,1200,291,939
497,44,49,56,940
601,10763,2063,845,941
18,10763,2063,845,942
4742,370,313,390,943
79,430,288,836,944
178,314,344,103,945
424,1649,1485,53,946
278,9858,428,2105,947
895,123,427,81,948
245,3000,558,389,949
276,1866,976,516,950
5,1866,976,516,951
628,3807,1039,1132,952
6157,16780,850,2168,953
275,841,612,422,954
7,4574,2796,2584,955
1,11972,2035,534,956
4731,147,2029,266,957
199,1200,1167,253,958
649,4526,1406,670,959
214,524,579,224,960
92,18203,1353,479,961
386,592,1115,605,962
375,652,4464,1746,963
705,2255,94,175,964
14912,577,698,592,965
67,7259,2272,1384,966
4,200,1867,355,967
1099,578,437,863,968
8,15,490,37,969
377,5676,1605,650,970
12,5676,1605,650,971
248,5676,1605,650,972
20,612,210,242,973
70,612,210,242,974
4577,2824,505,527,975
18,3545,575,810,976
326,4958,323,297,977
274,4270,721,2631,978
62,826,391,112,979
1157,1010,429,356,980
1,1371,823,107,981
202,721,1634,231,982
306,223,774,519,983
210,4823,1159,383,984
460,5477,3161,3462,985
2078,1569,491,990,986
12,994,2663,595,987
1887,14,147,121,988
218,446,5888,888,989
2811,2138,740,299,990
926,203,357,305,991
62,975,319,430,992
171,6433,3087,2395,993
172,5215,2078,852,994
84,1653,1748,169,995
4588,614,1290,779,996
847,1377,515,420,997
9,2785,467,262,998
605,3440,2037,564,999
564,5592,2683,681,1000
678,172,171,309,1001
975,137,531,207,1002
8,3306,824,359,1003
633,655,1681,220,1004
3,785,821,304,1005
22616,2218,657,1501,1006
14,984,322,801,1007
2612,5776,749,148,1008
15,2365,673,310,1009
183,356,1020,708,1010
239,300,424,482,1011
1841,4015.4999999999977,2002,382,1012
10,4015.4999999999977,2002,382,1013
653,183,717,610,1014
